date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:01	91424/91424	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:36:43%20GMT	https://www.w3schools.com/python/python_dictionaries_add.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_dictionaries_add.html	(from https://www.w3schools.com/python/default.asp)
13:02:02	92798/92798	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:38:37%20GMT	https://www.w3schools.com/python/python_dictionaries_remove.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_dictionaries_remove.html	(from https://www.w3schools.com/python/default.asp)
13:02:02	92236/92236	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:35:42%20GMT	https://www.w3schools.com/python/python_dictionaries_loop.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_dictionaries_loop.html	(from https://www.w3schools.com/python/default.asp)
13:02:03	91679/91679	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:42:56%20GMT	https://www.w3schools.com/python/python_dictionaries_copy.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_dictionaries_copy.html	(from https://www.w3schools.com/python/default.asp)
13:02:03	91834/91834	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:37:00%20GMT	https://www.w3schools.com/python/python_dictionaries_nested.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_dictionaries_nested.html	(from https://www.w3schools.com/python/default.asp)
13:02:04	91674/91674	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:37:33%20GMT	https://www.w3schools.com/python/python_dictionaries_methods.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_dictionaries_methods.html	(from https://www.w3schools.com/python/default.asp)
13:02:05	91277/91277	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:51:30%20GMT	https://www.w3schools.com/python/python_dictionaries_exercises.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_dictionaries_exercises.html	(from https://www.w3schools.com/python/default.asp)
13:02:06	99525/99525	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:30:58%20GMT	https://www.w3schools.com/python/python_conditions.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_conditions.html	(from https://www.w3schools.com/python/default.asp)
13:02:09	95708/95708	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:25%20GMT	https://www.w3schools.com/python/python_while_loops.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_while_loops.html	(from https://www.w3schools.com/python/default.asp)
13:02:11	98836/98836	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:30:46%20GMT	https://www.w3schools.com/python/python_for_loops.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_for_loops.html	(from https://www.w3schools.com/python/default.asp)
13:02:11	101488/101488	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:30:33%20GMT	https://www.w3schools.com/python/python_functions.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_functions.html	(from https://www.w3schools.com/python/default.asp)
13:02:16	96637/96637	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:30:52%20GMT	https://www.w3schools.com/python/python_lambda.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_lambda.html	(from https://www.w3schools.com/python/default.asp)
13:02:17	96751/96751	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:32:00%20GMT	https://www.w3schools.com/python/python_arrays.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_arrays.html	(from https://www.w3schools.com/python/default.asp)
13:02:21	96977/96977	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:24%20GMT	https://www.w3schools.com/python/python_classes.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_classes.html	(from https://www.w3schools.com/python/default.asp)
13:02:21	98646/98646	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:32:20%20GMT	https://www.w3schools.com/python/python_inheritance.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_inheritance.html	(from https://www.w3schools.com/python/default.asp)
13:02:22	95880/95880	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:32:12%20GMT	https://www.w3schools.com/python/python_iterators.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_iterators.html	(from https://www.w3schools.com/python/default.asp)
13:02:22	94229/94229	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:36:53%20GMT	https://www.w3schools.com/python/python_scope.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_scope.html	(from https://www.w3schools.com/python/default.asp)
13:02:23	97498/97498	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:31:53%20GMT	https://www.w3schools.com/python/python_modules.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_modules.html	(from https://www.w3schools.com/python/default.asp)
13:02:24	99569/99569	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20May%202022%2011:33:18%20GMT	https://www.w3schools.com/python/python_datetime.asp	C:/Mes%20Sites%20Web/Cours%20Python/www.w3schools.com/python/python_datetime.html	(from https://www.w3schools.com/python/default.asp)
